Instância,Algoritmo,Nós,Limiar,Resultado,Qualidade,Tempo de execução(s),Memória(bytes)
eil51,Twice Around the Tree,51,426,640.9012229251007,1.5044629646129124,0.006989002227783203,123206
eil51,Christofides,51,426,486.82490388532386,1.1427814645195395,0.023117780685424805,709664
berlin52,Twice Around the Tree,52,7542,10116.014495510826,1.3412907047879643,0.006597757339477539,34080
berlin52,Christofides,52,7542,8594.034943788782,1.1394901808258793,0.0213010311126709,509720
st70,Twice Around the Tree,70,675,873.3514856717352,1.293854052847015,0.011811256408691406,104968
st70,Christofides,70,675,759.1621130179485,1.1246846118784422,0.04648590087890625,1058334
eil76,Twice Around the Tree,76,538,707.1533198611806,1.3144113752066555,0.012486934661865234,86544
eil76,Christofides,76,538,623.0579978735639,1.1581003677947284,0.06250882148742676,1220584
pr76,Twice Around the Tree,76,108159,145338.11445183848,1.3437449907251222,0.012486934661865234,80296
pr76,Christofides,76,108159,116683.53464597449,1.0788148433877394,0.0349431037902832,982008
rat99,Twice Around the Tree,99,1211,1723.2250451508614,1.4229769158966652,0.022839069366455078,117208
rat99,Christofides,99,1211,1367.431978722476,1.1291758701259091,0.07430601119995117,1991536
kroA100,Twice Around the Tree,100,21282,27211.67972921635,1.2786241767322784,0.03736376762390137,144688
kroA100,Christofides,100,21282,23292.98465639025,1.0944922778117776,0.16190409660339355,2188550
kroB100,Twice Around the Tree,100,22141,25881.199893685625,1.1689264212856523,0.02384209632873535,140736
kroB100,Christofides,100,22141,24009.194442252865,1.084377148378703,0.06804609298706055,2016136
kroC100,Twice Around the Tree,100,20749,27966.54136375163,1.3478500825944204,0.022729158401489258,145848
kroC100,Christofides,100,20749,23469.130952131818,1.1310969662215922,0.08518195152282715,2137968
kroD100,Twice Around the Tree,100,21294,27113.29664042698,1.2732833962819095,0.022890090942382812,142824
kroD100,Christofides,100,21294,23587.75136035071,1.1077182004485164,0.08322811126708984,2063920
kroE100,Twice Around the Tree,100,22068,30507.419046823474,1.3824279067801102,0.0239410400390625,142752
kroE100,Christofides,100,22068,23782.60705318694,1.0776965313207785,0.10611510276794434,2222134
rd100,Twice Around the Tree,100,7910,10791.655815950702,1.3643054128888372,0.023781299591064453,145216
rd100,Christofides,100,7910,8905.492431142618,1.125852393317651,0.12602996826171875,2235384
eil101,Twice Around the Tree,101,629,830.5422075548881,1.320416864157215,0.023462772369384766,148696
eil101,Christofides,101,629,722.9974255765957,1.1494394683252713,0.1118776798248291,2317944
lin105,Twice Around the Tree,105,14379,19498.408788813624,1.3560337150576274,0.02581000328063965,130424
lin105,Christofides,105,14379,16323.675799681514,1.135244161602442,0.0821681022644043,2187248
pr107,Twice Around the Tree,107,44303,54238.03661175547,1.2242520057728703,0.02787184715270996,149944
pr107,Christofides,107,44303,47894.18468460625,1.0810596276686961,0.1266627311706543,2406142
pr124,Twice Around the Tree,124,59030,74140.95964828487,1.2559877968538857,0.0373692512512207,164104
pr124,Christofides,124,59030,64437.69864117384,1.0916093281581203,0.06471586227416992,2542776
bier127,Twice Around the Tree,127,118282,158637.60615918832,1.341181296893765,0.038156747817993164,198424
bier127,Christofides,127,118282,132456.24599032826,1.1198343449580517,0.20830106735229492,3427390
ch130,Twice Around the Tree,130,6110,8128.757281130948,1.3304021736711864,0.04055190086364746,181688
ch130,Christofides,130,6110,6752.275865213126,1.1051187995438831,0.12624788284301758,2748440
pr136,Twice Around the Tree,136,96772,151913.74200165656,1.5698109163978895,0.04634284973144531,176840
pr136,Christofides,136,96772,103771.90817636026,1.0723340240602681,0.0801401138305664,3167752
pr144,Twice Around the Tree,144,58537,80596.32004796875,1.3768440481741249,0.050745248794555664,174384
pr144,Christofides,144,58537,70405.28109712257,1.2027483659415852,0.06808710098266602,3223896
ch150,Twice Around the Tree,150,6528,8333.472170089168,1.2765735554670907,0.05124211311340332,194128
ch150,Christofides,150,6528,7112.036891270508,1.0894664355500165,0.26647496223449707,3890448
kroA150,Twice Around the Tree,150,26524,35122.56680105931,1.3241806213640215,0.05474090576171875,205672
kroA150,Christofides,150,26524,29688.31634111598,1.1193001184254252,0.27744317054748535,4207334
kroB150,Twice Around the Tree,150,26130,36154.73394030785,1.3836484477729756,0.05546998977661133,205600
kroB150,Christofides,150,26130,30054.38749397736,1.1501870453110357,0.6097359657287598,4252886
pr152,Twice Around the Tree,152,73682,87998.6939814051,1.1943038188622066,0.05377507209777832,188912
pr152,Christofides,152,73682,79314.35040722211,1.0764413344809058,0.07103276252746582,3524912
u159,Twice Around the Tree,159,42080,57787.974410195486,1.3732883652612995,0.06067991256713867,190024
u159,Christofides,159,42080,47581.71632624036,1.130744209273773,0.35497403144836426,4490382
rat195,Twice Around the Tree,195,2323,3317.723252056972,1.428206307385696,0.08478999137878418,220048
rat195,Christofides,195,2323,2648.0952220519634,1.1399462858596485,0.32315731048583984,6289136
d198,Twice Around the Tree,198,15780,19218.43305436619,1.217898165675931,0.0913999080657959,262608
d198,Christofides,198,15780,17316.366440499645,1.0973616248732347,0.6976749897003174,6591744
kroA200,Twice Around the Tree,200,29368,40030.86635119212,1.363077715581317,0.09312200546264648,263384
kroA200,Christofides,200,29368,33602.85852107668,1.1441997589579367,1.1202709674835205,7983870
kroB200,Twice Around the Tree,200,29437,40710.95987899587,1.3829860338688,0.10280895233154297,263000
kroB200,Christofides,200,29437,33118.12196028457,1.125050853017786,0.8449668884277344,7625582
ts225,Twice Around the Tree,225,126643,188009.70162933244,1.48456449728238,0.12187004089355469,274608
ts225,Christofides,225,126643,134282.1703627935,1.0603205101173654,0.15970730781555176,8268584
tsp225,Twice Around the Tree,225,3919,5115.932581284439,1.305417856923817,0.12085199356079102,275608
tsp225,Christofides,225,3919,4376.002889600349,1.1166121177852382,0.8092570304870605,8877246
pr226,Twice Around the Tree,226,80369,116692.15371518278,1.4519547800169565,0.11654496192932129,276568
pr226,Christofides,226,80369,92425.75353982349,1.1500174636964935,0.6503510475158691,9383022
gil262,Twice Around the Tree,262,2378,3358.1541767582894,1.4121758522953278,0.15198993682861328,284600
gil262,Christofides,262,2378,2695.15432713288,1.1333701964393945,1.824554204940796,12276070
pr264,Twice Around the Tree,264,49135,66466.8417493333,1.3527392235541527,0.17882204055786133,294200
pr264,Christofides,264,49135,54663.60243427483,1.1125186208257827,0.6450939178466797,10412216
a280,Twice Around the Tree,280,2579,3629.7203051092397,1.4074138445557347,0.2087421417236328,278760
a280,Christofides,280,2579,2966.2849384579904,1.1501686461644012,1.4425129890441895,13528310
pr299,Twice Around the Tree,299,48191,64646.03471992065,1.341454518891923,0.23148012161254883,280984
pr299,Christofides,299,48191,52968.219790603056,1.0991309537175626,1.982621192932129,14985720
lin318,Twice Around the Tree,318,42029,58145.441917056065,1.3834600375230452,0.266071081161499,303592
lin318,Christofides,318,42029,47259.75653586447,1.1244558884547449,2.516493797302246,17009286
linhp318,Twice Around the Tree,318,41345,58145.441917056065,1.406347609555111,0.27992868423461914,303592
linhp318,Christofides,318,41345,47259.75653586447,1.1430585690135318,2.5275518894195557,17009286
rd400,Twice Around the Tree,400,15281,20250.376744292647,1.3251997084151985,0.41864991188049316,377528
rd400,Christofides,400,15281,17551.74562434106,1.1485992817447195,7.632603883743286,30309686
fl417,Twice Around the Tree,417,11861,16297.174640391935,1.3740135435791194,0.4656519889831543,387160
fl417,Christofides,417,11861,13429.636363955686,1.1322516114961374,2.9778120517730713,29515824
pr439,Twice Around the Tree,439,107217,144624.15787804432,1.34889204023657,0.507936954498291,404128
pr439,Christofides,439,107217,119532.0359030051,1.1148608513855556,3.16680908203125,31912104
pcb442,Twice Around the Tree,442,50778,69364.90250618651,1.3660424299142642,0.521388053894043,398120
pcb442,Christofides,442,50778,54876.77363889552,1.0807194777048235,5.928478956222534,35159710
d493,Twice Around the Tree,493,35002,45427.08884703529,1.297842661763193,0.6915459632873535,426616
d493,Christofides,493,35002,38393.63634401193,1.0968983584941412,9.747529983520508,41568646
u574,Twice Around the Tree,574,36905,49083.15193822763,1.3299865042196892,0.9254579544067383,466512
u574,Christofides,574,36905,41337.60957541716,1.12010864585875,15.62842082977295,54511758
rat575,Twice Around the Tree,575,6773,9438.933433360664,1.3936119051174758,0.9422669410705566,451600
rat575,Christofides,575,6773,7802.7491950184985,1.1520373829940203,17.843427896499634,55750806
p654,Twice Around the Tree,654,34643,49731.89542216019,1.4355539480460753,1.2332148551940918,499608
p654,Christofides,654,34643,39244.70795213078,1.1328322591037376,2.840322971343994,60313912
d657,Twice Around the Tree,657,48912,65730.19370040316,1.3438459621443237,1.2928590774536133,503504
d657,Christofides,657,48912,54738.296289833816,1.1191179319969295,23.54048728942871,68573942
u724,Twice Around the Tree,724,41910,57779.66789292217,1.3786606512269666,1.5437359809875488,557256
u724,Christofides,724,41910,47954.682397622775,1.1442300739113045,29.520221948623657,95666006
rat783,Twice Around the Tree,783,8806,12054.453156740949,1.3688908876607937,1.8057329654693604,596128
rat783,Christofides,783,8806,10102.874531719244,1.1472716933589875,46.68690514564514,114428022
pr1002,Twice Around the Tree,1002,259045,342244.46239584225,1.321177642478497,2.9148099422454834,688728
pr1002,Christofides,1002,259045,286233.0980252908,1.1049551160041338,68.69871020317078,173886110
u1060,Twice Around the Tree,1060,224094,302914.8663669418,1.3517312661960685,3.2891950607299805,738984
u1060,Christofides,1060,224094,249108.58459439888,1.1116254098476481,94.12460017204285,188041750
vm1084,Twice Around the Tree,1084,239297,315268.3487491507,1.3174772301748483,3.681744337081909,750416
vm1084,Christofides,1084,239297,260833.0616257126,1.089997206925756,47.0273232460022,184252278
pcb1173,Twice Around the Tree,1173,56892,80694.8928627429,1.418387345544943,4.018967866897583,798752
pcb1173,Christofides,1173,56892,63392.440765721745,1.1142593117788397,87.06764316558838,215393102
d1291,Twice Around the Tree,1291,50801,74658.29731002661,1.4696225922723294,5.049964189529419,849080
d1291,Christofides,1291,50801,57930.365110023486,1.140339070294354,23.087490797042847,223378200
rl1304,Twice Around the Tree,1304,252948,347782.57034149766,1.3749172570706139,5.268847942352295,860912
rl1304,Christofides,1304,252948,278319.19310530246,1.100302011106245,22.954992294311523,236985054
rl1323,Twice Around the Tree,1323,270199,380421.587604229,1.4079311455787364,5.507474899291992,873664
rl1323,Christofides,1323,270199,298261.7196963095,1.1038594506134718,23.64739203453064,243283998
nrw1379,Twice Around the Tree,1379,56638,79156.2650653691,1.397582278070714,5.920123815536499,966592
nrw1379,Christofides,1379,56638,63845.070784206226,1.1272479745790145,307.02837109565735,357901814
fl1400,Twice Around the Tree,1400,20127,27915.52347719665,1.3869689212101481,5.8737218379974365,956144
fl1400,Christofides,1400,20127,22834.353425479138,1.1345135104823936,284.79019498825073,390370478
u1432,Twice Around the Tree,1432,152970,214430.78054791197,1.4017832290508725,6.33171010017395,990592
u1432,Christofides,1432,152970,171495.2292849713,1.1211036757859143,91.681813955307,365354934
fl1577,Twice Around the Tree,1577,22226.5,31223.096666973648,1.4047689319944052,7.650032997131348,1074328
fl1577,Christofides,1577,22226.5,24505.548646379197,1.102537450627818,58.76524806022644,404255470
d1655,Twice Around the Tree,1655,62128,85681.0784168341,1.3791056917466216,8.620444059371948,1034424
d1655,Christofides,1655,62128,70542.33671413544,1.135435499519306,117.26455879211426,449945958
vm1748,Twice Around the Tree,1748,336556,444658.6319423448,1.3212025099607339,10.111475944519043,1176960
vm1748,Christofides,1748,336556,376240.89998764714,1.1179147006371812,174.21970987319946,493294598
u1817,Twice Around the Tree,1817,57201,83501.55577440909,1.459791887806316,10.351057291030884,1177320
u1817,Christofides,1817,57201,66796.25683960102,1.1677463128197236,133.20003080368042,525434526
rl1889,Twice Around the Tree,1889,316536,449811.48817322083,1.4210436985784265,11.408874988555908,1222672
rl1889,Christofides,1889,316536,344691.95294951776,1.0889502393077495,71.65259003639221,538068390
d2103,Twice Around the Tree,2103,80201.0,124533.87160392563,1.5527720552602289,14.311302900314331,1317392
d2103,Christofides,2103,80201.0,84509.81497317906,1.0537252025932229,18.37349510192871,622765318
u2152,Twice Around the Tree,2152,64253,95076.21583494876,1.4797163686512498,14.09352970123291,1338936
u2152,Christofides,2152,64253,73917.82910222613,1.1504183322525972,193.12757015228271,702070990
u2319,Twice Around the Tree,2319,234256,320532.84102777723,1.3683015206772815,17.280607223510742,1417176
u2319,Christofides,2319,234256,272035.61031305155,1.161274888639145,731.0739450454712,972415262
pr2392,Twice Around the Tree,2392,378032,523132.9069393881,1.3838323394299639,18.408539056777954,1463936
pr2392,Christofides,2392,378032,425979.59046984685,1.126834740100962,659.5382988452911,919999766
pcb3038,Twice Around the Tree,3038,137694,196573.89922196095,1.427614124231709,30.6272132396698,1925792
pcb3038,Christofides,3038,137694,154218.1858797758,1.120006578934273,1418.174607038498,1590859302
fl3795,Twice Around the Tree,3795,28747.5,39072.83254850032,1.3591732341421106,47.7856879234314,2344496
fl3795,Christofides,3795,28747.5,31498.9712356419,1.095711670080595,1375.4993767738342,2300591318
fnl4461,Twice Around the Tree,4461,182566,254671.62750690823,1.3949564952231426,70.55006098747253,2605160
rl5915,Twice Around the Tree,5915,565285.0,840348.3558001819,1.4865923486386192,137.75900530815125,3632104
rl5934,Twice Around the Tree,5934,555057.5,827482.3360284586,1.4908047112748832,158.22595405578613,541771913
